路口名称,经度,纬度,详细信息
新桥街/新生路(路口),121.573191,38.946204,大连市沙河口区新桥街
黄河街/大同街(路口),121.614451,38.921125,大连市西岗区大同街
富强路/山东路(路口),121.586119,38.980686,大连市甘井子区富强路
旅顺北路/鹤大高速(路口),121.260654,38.903467,大连市旅顺口区G202
五四路/成仁街(路口),121.600717,38.906964,辽宁省大连市沙河口区
长春路/鞍山路(路口),121.615008,38.927414,大连市西岗区鞍山路
柳林街/白兰街(路口),121.651628,38.921223,大连市中山区白兰街
八一路/青春街(路口),121.652028,38.890883,大连市西岗区八一路
建业巷/秀月街(路口),121.664537,38.887918,大连市中山区秀月街
更新街/同庆街(路口),121.630614,38.922083,大连市西岗区更新街
保健路/健康街(路口),122.017279,39.632424,大连市瓦房店市健康街
育才街/太阳街(路口),121.667361,38.923925,大连市中山区育才街
三元街/唐山街(路口),121.63144,38.916791,大连市西岗区三元街
五四路/白山路(路口),121.603359,38.908357,辽宁省大连市沙河口区
黄河路/长江路(路口),121.632421,38.924366,大连市西岗区黄河路
七七街/友好路(路口),121.649409,38.918908,大连市中山区友好路
如意街/黄河路(路口),121.592294,38.916683,大连市沙河口区如意街
永昌街/学士街(路口),121.665572,38.924626,大连市中山区永昌街
集贤街/成仁街(路口),121.599245,38.907675,辽宁省大连市沙河口区
北斗街/新柳街(路口),121.674384,38.926953,大连市中山区北斗街
迎宾路/中南路(路口),121.682241,38.900532,大连市中山区中南路
北斗街/港湾街(路口),121.669009,38.927456,大连市中山区港湾街
锦绣路/锦虹街(路口),121.553622,38.947863,大连市沙河口区锦绣路
五一路/连胜街(路口),121.598747,38.913749,大连市沙河口区五一路
风光街/英华街(路口),121.634477,38.92003,辽宁省大连市西岗区
同济路/金湾路(路口),121.722158,39.102413,大连市金州区同济路
同庆街/兴旺街(路口),121.630179,38.922486,大连市西岗区兴旺街
柳林街/解放街(路口),121.653295,38.921531,大连市中山区柳林街
长江路/长春路(路口),121.615447,38.92434,大连市西岗区长春路
长红街/兴民街(路口),121.627389,38.912775,大连市西岗区长红街
七七街/延安路(路口),121.650855,38.9193,大连市中山区七七街
安阳街/南山路(路口),121.658085,38.920755,大连市中山区安阳街
建业街/联合路(路口),121.606882,38.911417,大连市西岗区联合路
大胜街/不老街(路口),121.613082,38.920079,大连市沙河口区不老街
庆贺街/博爱街(路口),121.617604,38.925951,大连市西岗区博爱街
新开路/庆贺街(路口),121.623095,38.92701,大连市西岗区庆贺街
春华街/春生街(路口),121.677384,38.922106,大连市中山区春华街
松江路/新达街(路口),121.561808,38.976656,大连市甘井子区松江路
梅山路/黄山路(路口),121.593751,38.984546,大连市甘井子区梅山路
体育路/南山路(路口),121.972444,39.403719,辽宁省大连市普兰店区南山路小区西侧
北斗街/大众街(路口),121.670157,38.926875,大连市中山区北斗街
杏林街/五五路(路口),121.663181,38.924174,大连市中山区杏林街
英华街/更新街(路口),121.631155,38.922596,辽宁省大连市西岗区
锦绣路/锦石路(路口),121.56061,38.948705,大连市沙河口区锦绣路
泡崖街/新达街(路口),121.561652,38.979314,大连市甘井子区泡崖街
大同街/长江路(路口),121.613944,38.92421,大连市西岗区长江路
丰登街/北京街(路口),121.618481,38.926575,大连市西岗区北京街
华中街/富强路(路口),121.583539,38.981033,大连市甘井子区华中街
东纬路/促进路(路口),121.586987,38.962674,大连市甘井子区山东路
华北路/柳华街(路口),121.578547,38.948752,辽宁省大连市沙河口区华北路市场西北侧约30米
民权街/大同街(路口),121.61394,38.921803,大连市西岗区民权街
西南路/龙祥街(路口),121.569433,38.899793,大连市沙河口区西南路
松江路/华北路(路口),121.57655,38.976329,大连市甘井子区松江路
成仁街/民政街(路口),121.596006,38.916145,大连市沙河口区民政街
人民路/致富街(路口),121.659799,38.930566,大连市中山区人民路
北岗街/民助巷(路口),121.612055,38.929261,大连市西岗区民助巷
吉庆街/同顺街(路口),121.64824,38.931358,大连市中山区中和街
庆贺街/北京街(路口),121.618709,38.926146,大连市西岗区北京街
同仁街/和平街(路口),121.970099,39.408254,大连市普兰店区同仁街
同泰街/连胜街(路口),121.599767,38.910651,大连市沙河口区连胜街
北关街/博爱街(路口),121.617392,38.926694,大连市西岗区博爱街
不老街/振华街(路口),121.612953,38.92097,大连市沙河口区不老街
七一街/同兴街(路口),121.652418,38.929317,大连市中山区七一街
华中街/松江路(路口),121.582219,38.976188,大连市甘井子区松江路
春和街/北斗街(路口),121.672672,38.927269,大连市中山区春和街
华昌街/白兰街(路口),121.65153,38.9222,大连市中山区华昌街
合阳街/永昌街(路口),121.665892,38.925026,大连市中山区和阳街
新明巷/明泽街(路口),121.656607,38.930985,大连市中山区新明巷
福寿街/民寿街(路口),121.657558,38.928412,大连市中山区福寿街
新华街/对山街(路口),121.616643,38.9118,大连市西岗区对山街
兴乐街/南二路(路口),122.009231,39.628264,大连市瓦房店市南二路
南河街/河川街(路口),121.577187,38.911123,大连市沙河口区南河街
金港路/龙湾路(路口),121.733821,39.083582,大连市金州区龙湾路
丰荣街/和平街(路口),121.972359,39.406627,大连市普兰店区丰荣街
东联路/春柳隧道(路口),121.585499,38.945606,大连市沙河口区东联路
天河路/七江路(路口),121.582811,38.991979,大连市甘井子区天河路
南棉路/建设街(路口),121.724315,39.104599,大连市金州区建设街
天津街/安乐街(路口),121.65357,38.930239,大连市中山区天津街
长江路/天津街(路口),121.657346,38.932499,辽宁省大连市中山区
苍山路/黄山路(路口),121.592933,38.985004,大连市甘井子区苍山路
东山路/金水路(路口),121.741126,39.100318,大连市金州区金水路
春山巷/鲁迅路(路口),121.681615,38.925319,大连市中山区鲁迅路
黄河路/民联街(路口),121.27789,38.820893,大连市旅顺口区黄河路
同德巷/不老街(路口),121.612726,38.921514,辽宁省大连市沙河口区五一广场锦宴楼西北(不老街)
三环街/靠山巷(路口),121.649914,38.892673,大连市西岗区靠山巷
大盐线/沈海高速(路口),121.175168,38.84297,大连市旅顺口区
新丽街/新月街(路口),121.63504,38.891703,大连市西岗区新丽街
大连湾北街/鹤大高速(路口),121.708994,39.067936,大连市甘井子区鹤大高速
春海街/鲁迅路(路口),121.682236,38.925087,大连市中山区华乐街
港东五街/港浦路(路口),121.700844,38.928604,大连市中山区港东五街
S313/长岭路(路口),121.339648,39.564606,大连市瓦房店市S313
七绣路/七迎路(路口),121.58591,38.989579,大连市甘井子区七迎路
新华路/五一南街(路口),122.974246,39.692482,大连市庄河市新华路辅路
长春路/新水巷(路口),121.642764,38.892238,大连市西岗区长春路
杭州街/尖山街(路口),121.561839,38.890339,大连市沙河口区杭州街
蓝天街/迎客路(路口),121.56579,38.959297,大连市甘井子区G202
长春路/新林巷(路口),121.64008,38.893144,大连市西岗区长春路
东北八街/淮河西路(路口),121.813864,39.071918,大连市金州区东北八街
一环路/鹤大线(路口),122.95352,39.705739,大连市庄河市
九五线/爱大线(路口),121.884418,39.367918,大连市普兰店区世纪路西段与九五线交叉路口北侧
G15/盛智街(路口),121.182482,38.850612,大连市旅顺口区盛智街
G201/金水路(路口),121.735626,39.098543,大连市金州区金水路
S19/金王线(路口),122.838604,39.773845,大连市庄河市金王线
塔大线/四仲线(路口),123.035609,40.057146,大连市庄河市塔大线
歇郭线/石太线(路口),122.969407,39.859765,大连市庄河市石太线
万石线/赵小线(路口),122.679068,39.80171,大连市庄河市赵小线
明阳街/福康路(路口),122.620177,39.570343,大连市庄河市明阳街
许英线/熊万线(路口),122.140371,40.008237,大连市瓦房店市许英线
万向线/李闻线(路口),122.132928,39.95791,大连市瓦房店市李闻线
土鞠线/爱大线(路口),121.946245,39.978981,大连市瓦房店市土吴线
潘潘线/下苇线(路口),121.875384,39.829182,大连市瓦房店市潘潘线
南纺线/花张线(路口),121.966587,39.469093,大连市普兰店区花张线与南纺线交叉路口东侧
三堂街/城八线(路口),121.465485,39.604084,大连市瓦房店市三堂街
光海路/龙口路(路口),121.37722,39.536822,大连市瓦房店市龙口路
和谐街/杏阮线(路口),122.153097,39.27029,大连市金州区杏阮线
华北线/敬业路(路口),122.037261,39.285954,大连市金州区敬业路
柳王线/盖亮线(路口),121.978213,39.361249,大连市普兰店区S212
亮泉路/鹤大线(路口),121.954293,39.231729,大连市金州区亮泉路
付大线/莲付线(路口),121.745267,39.237103,大连市金州区付大线
庄茧线/G305(路口),122.565772,40.023983,大连市庄河市G305
G11/城下线(路口),122.480918,39.545001,大连市普兰店区S313
G201/李于线(路口),121.986935,39.248006,大连市金州区李于线
S212/徐望线(路口),121.944921,39.258914,大连市金州区徐望线
G201/解放路(路口),121.732584,39.107877,大连市金州区G201
G201/星辰街(路口),121.5917,38.900373,大连市沙河口区G201
前山街/G202(路口),121.255817,38.878827,大连市旅顺口区前山街
青盛线/鹤大线(路口),123.270048,39.836203,大连市庄河市青海路
G201/刘后线(路口),123.459813,39.866179,大连市庄河市G201
G201/金港街(路口),121.596297,38.973062,大连市甘井子区G201
G202/胜利路(路口),121.700568,39.095966,大连市金州区
杨家沟大桥/龙李线(路口),122.096312,40.035119,大连市瓦房店市
华乐街/海乐街(路口),121.684348,38.923552,大连市中山区海乐街
沧泉街/清泉街(路口),121.608908,39.011443,大连市甘井子区清泉街
姜娄线/孙得线(路口),123.124246,39.88008,大连市庄河市孙得线
杜小线/鹤大线(路口),123.106633,39.794036,大连市庄河市G201
大猴线/转棋线(路口),122.106884,39.246036,大连市金州区大猴线
光黄线/大冷线(路口),123.166391,39.757631,大连市庄河市光黄线
步行街/延安路(路口),122.984019,39.707131,辽宁省大连市庄河市
S313/长兴路(路口),121.305106,39.525871,大连市瓦房店市光海路
G15/鹤大线(路口),121.64313,39.038129,大连市甘井子区
G202/迎金路(路口),121.633179,39.040003,大连市甘井子区
G11/鹤大线(路口),121.704368,39.071132,大连市甘井子区鹤大高速
S203/石太线(路口),122.998714,39.838968,大连市庄河市石太线
G15/东南线(路口),122.006435,40.025899,大连市瓦房店市东南线
长生路/龙口路(路口),121.370094,39.551995,大连市瓦房店市
长兴路/黄海街(路口),121.374279,39.569942,大连市瓦房店市黄海街
丹枫路/丹桥街(路口),122.024461,39.091849,大连市金州区丹桥街
双西线/潘大桥(路口),121.867041,39.76046,大连市瓦房店市双西线
G305/鹤大线(路口),122.963981,39.711341,大连市庄河市G201
G202/虹城路(路口),121.444582,39.001413,大连市甘井子区G202
